ID,NPC_ID,DIALOGUE_TEXT,CHOICES,NEXT_DIALOGUE_IDS,,CONDITION,IS_END_DIALOGUE,Column1,,
tutorial_001_001,Tutorial,수확한 장미는 '작업대'에서 손질할 수 있습니다.,,tutorial_001_001,,,FALSE,,,
tutorial_001_002,Tutorial,작업대'를 클릭해서 손질을 시작해보세요.,,tutorial_001_002,,,TRUE,,,
tutorial_001_003,Tutorial,장미'를 선택하세요.,,tutorial_001_003,,,TRUE,,,
tutorial_001_004,Tutorial,쟁반에 놓인 장미를 클릭해주세요.,,tutorial_001_004,,,TRUE,,,
tutorial_001_005,Tutorial,장미 꽃잎을 드래그하여 나무 그릇에 넣어주세요.,,tutorial_001_005,,,TRUE,,,
tutorial_001_006,Tutorial,손질이 완료되었습니다!,,tutorial_001_006,,,FALSE,,,
tutorial_001_007,Tutorial,나머지 재료를 손질해주세요.,,tutorial_001_007,,,TRUE,,,
tutorial_001_008,Tutorial,나무 그릇을 클릭하여 손질이 완료된 재료를 얻으세요.,,tutorial_001_008,,,TRUE,,,
tutorial_001_009,Tutorial,나가기' 버튼을 클릭해주세요.,,tutorial_001_009,,,TRUE,,,
tutorial_001_010,Tutorial,증류기를 클릭해주세요.,,tutorial_001_010,,,TRUE,,,
tutorial_001_011,Tutorial,손질된 재료를 선택하세요.,,tutorial_001_011,,,TRUE,,,
tutorial_001_012,Tutorial,이곳에 재료를 넣어주세요.,,tutorial_001_012,,,TRUE,,,
tutorial_001_013,Tutorial,연료를 선택하세요.,,tutorial_001_013,,,TRUE,,,
tutorial_001_014,Tutorial,이곳에 연료를 넣어주세요.,,tutorial_001_014,,,TRUE,,,
tutorial_001_015,Tutorial,시간이 지나면 증류가 완료됩니다.,,tutorial_001_015,,,TRUE,,,
tutorial_001_016,Tutorial,조합대를 클릭하세요.,,tutorial_001_016,,,TRUE,,,
tutorial_001_017,Tutorial,베이스 노트가 될 에센스를 선택하세요.,,tutorial_001_017,,,TRUE,,,
tutorial_001_018,Tutorial,미들 노트가 될 에센스를 선택하세요.,,tutorial_001_018,,,TRUE,,,
tutorial_001_019,Tutorial,탑 노트가 될 에센스를 선택하세요.,,tutorial_001_019,,,TRUE,,,
tutorial_001_020,Tutorial,베이스-미들-탑 노트의 에센스를 순서대로 향수 공병에 채워주세요.,,tutorial_001_020,,,TRUE,,,
tutorial_001_021,Tutorial,향수를 잘 섞어주세요.,,tutorial_001_021,,,TRUE,,,
tutorial_001_022,Tutorial,만들어진 향수를 수집하세요.,,tutorial_001_022,,,TRUE,,,
