ID,NPC_ID,DIALOGUE_TEXT,CHOICES,NEXT_DIALOGUE_IDS,,CONDITION,IS_END_DIALOGUE,Column1,,
narration_001_001,Guide,이곳은 당신의 연구실입니다.,,narration_001_002,,,FALSE,,,
narration_001_002,Guide,이곳에서 작물을 키우고 향수를 제작할 수 있습니다.,,narration_001_003,,,FALSE,,,
narration_001_003,Guide,나무판자' 위에 흙을 설치해보세요.,,narration_001_004,,,TRUE,,,
narration_001_004,Guide,물뿌리개로 흙에 물을 주세요.,,narration_001_005,,,TRUE,,,
narration_001_005,Guide,이제 흙에 씨앗을 심어주세요.,,narration_001_006,,,TRUE,,,
narration_001_006,Guide,식물은 시간이 지나면 자랍니다.,,narration_001_007,,,FALSE,,,
narration_001_007,Guide,여유가 생겼으니 마을을 구경해볼까요?,,narration_001_007,,,TRUE,,,
narration_002_001,Warning,연료가 필요합니다.,,narration_002_001,,,TRUE,,,
narration_002_002,Warning,재료를 선택해주세요.,,narration_002_002,,,TRUE,,,
narration_002_003,Warning,아직 에센스가 추출되지 않았습니다.,,narration_002_003,,,TRUE,,,
narration_002_004,Warning,재료를 올려놓으세요.,,narration_002_004,,,TRUE,,,
narration_002_005,Warning,손질한 재료가 없습니다.,,narration_002_005,,,TRUE,,,
narration_002_006,Warning,에센스를 선택해주세요.,,narration_002_006,,,TRUE,,,
narration_002_007,Warning,만들어진 향수가 없습니다.,,narration_002_007,,,TRUE,,,
narration_002_008,Warning,물뿌리개에 물이 부족합니다!,,narration_002_008,,,TRUE,,,
npc_001_007,Isolde,당신이 '연구회'의 신입인가요?,,npc_001_008,,,FALSE,,,
npc_001_008,Isolde,받아요. 작은 선물이에요.,,npc_001_009,,,FALSE,,,
npc_001_009,Isolde,연구회'에 많은 기대를 걸고 있어요.,,npc_001_010,,,FALSE,,,
npc_001_010,Isolde,잘 해내길 바라요.,,npc_001_009,,,TRUE,,,
narration_001_008,Guide,수확한 장미는 '작업대'에서 손질할 수 있습니다.,,narration_001_009,,,FALSE,,,
narration_001_009,Guide,작업대'를 클릭해서 손질을 시작해보세요.,,narration_001_009,,,TRUE,,,
narration_001_010,Guide,장미'를 선택하세요.,,narration_001_010,,,TRUE,,,
narration_002_009,Warning,손질할 수 있는 재료가 아닙니다.,,narration_002_009,,,TRUE,,,
narration_001_011,Guide,쟁반에 놓인 장미를 클릭해주세요.,,narration_001_011,,,TRUE,,,
narration_001_012,Guide,장미 꽃잎을 드래그하여 나무 그릇에 넣어주세요.,,narration_001_012,,,TRUE,,,
narration_001_013,Guide,손질이 완료되었습니다!,,narration_001_014,,,FALSE,,,
narration_001_014,Guide,나머지 재료를 손질해주세요.,,narration_001_014,,,TRUE,,,
narration_001_015,Guide,나무 그릇을 클릭하여 손질이 완료된 재료를 얻으세요.,,narration_001_015,,,TRUE,,,
narration_001_016,Guide,이제 에센스를 추출해봅시다.,,narration_001_017,,,FALSE,,,
narration_001_017,Guide,’나가기’ 버튼을 클릭해주세요.,,narration_001_017,,,TRUE,,,
narration_002_010,Warning,이 재료는 연료로 사용할 수 없습니다.,,narration_002_010,,,TRUE,,,
narration_002_011,Warning,이 재료는 증류할 수 없습니다.,,narration_002_011,,,TRUE,,,
narration_001_018,Guide,증류기를 클릭해주세요.,,narration_001_018,,,TRUE,,,
narration_001_019,Guide,손질된 재료를 선택하세요.,,narration_001_019,,,TRUE,,,
narration_001_020,Guide,이곳에 재료를 넣어주세요.,,narration_001_020,,,TRUE,,,
narration_001_021,Guide,연료를 선택하세요.,,narration_001_021,,,TRUE,,,
narration_001_022,Guide,이곳에 연료를 넣어주세요.,,narration_001_022,,,TRUE,,,
narration_001_023,Guide,시간이 지나면 증류가 완료됩니다.,,narration_001_024,,,FALSE,,,
narration_001_024,Guide,증류기를 추가하여 한 번에 여러 개의 에센스를 추출해보세요.,,narration_001_024,,,TRUE,,,
narration_003_001,???,(누군가 문을 두드린다.),,narration_003_001,,,TRUE,,,
npc_002_010,Ansel,… 오염을 정화할 수 있다고 들었소.,,npc_002_011,,,FALSE,,,
npc_002_011,Ansel,내 손녀 같은 아이요.,,npc_002_012,,Worry,FALSE,,,
npc_002_012,Ansel,정화할 수 있겠소?,,npc_002_011,,,TRUE,,,
narration_004_001,Mission,Isolde'의 오염을 정화하세요!,,narration_004_001,,,TRUE,,,
narration_001_025,Guide,첫 번째 의뢰를 받았습니다.,,narration_001_025,,,FALSE,,,
narration_001_026,Guide,오염의 특징을 조사하기 위해 대상과 상호작용하세요.,,narration_001_026,,,TRUE,,,
npc_001_011,Isolde,슬픈 기억이 떠올랐어요.,,npc_001_012,,Pain,FALSE,,,
npc_001_012,Isolde,기분이… 좀 우울한 것 같아요.,,npc_001_011,,Pain,TRUE,,,
narration_001_027,Guide,우울의 오염은 진정이 되는 향수로 정화할 수 있습니다.,,narration_001_027,,,FALSE,,,
narration_001_028,Guide,에센스를 조합해 적합한 성질의 향수를 만들어 보세요.,,narration_001_028,,,FALSE,,,
narration_001_029,Guide,조합대를 클릭하세요.,,narration_001_029,,,TRUE,,,
narration_001_030,Guide,베이스 노트가 될 에센스를 선택하세요.,,narration_001_030,,,TRUE,,,
narration_001_031,Guide,미들 노트가 될 에센스를 선택하세요.,,narration_001_031,,,TRUE,,,
narration_001_032,Guide,탑 노트가 될 에센스를 선택하세요.,,narration_001_032,,,TRUE,,,
narration_001_033,Guide,베이스-미들-탑 노트의 에센스를 순서대로 향수 공병에 채워주세요.,,narration_001_033,,,TRUE,,,
narration_001_034,Guide,향수를 잘 섞어주세요.,,narration_001_034,,,TRUE,,,
narration_001_035,Guide,만들어진 향수를 수집하세요.,,narration_001_035,,,TRUE,,,
npc_001_013,Isolde,으으…,,narration_001_036,,Pain,FALSE,,,
narration_001_036,Guide,Isolde'에게 건넬 향수를 선택하세요.,,narration_001_036,,,TRUE,,,
