type,charID,startX,startY,endX,endY,dirX,dirY,duration,value,background,sfx,비고
BGM,,,,,,,,,,,,
BACKGROUND,,,,,,,,,,black,,
EFFECT,,,,,,,,,FADE_TO_70,,,
BACKGROUND,,,,,,,,,,wasteLand,,
SFX_START,,,,,,,,,0.7,,dragging,
DIALOGUE,,,,,,,,,2,,,(지이익… 지이익…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.5,,dragging,
DIALOGUE,,,,,,,,,2,,,(피곤하다.)
SFX,,,,,,,,,,,sigh,한숨 sfx
DIALOGUE,,,,,,,,,3,,,장: (돈이 아무리 궁해도 쓰리잡은 무리였나…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.7,,dragging,
DIALOGUE,,,,,,,,,3,,,(지이익… 지이익…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.85,,dragging,
DIALOGUE,,,,,,,,,2,,,장: (…?)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,1,,dragging,
DIALOGUE,,,,,,,,,1,,,(지이익… 지이익…)
SFX,,,,,,,,,,,turning,뒤척이기 sfx
DIALOGUE,,,,,,,,,3,,,(장은 며칠 밤을 새며 몽롱해진 정신을…)
ANIMATION,Jang,,,,,,,,lay,,,누워있기
EFFECT,,,,,,,,,FADE_IN,,,
SLIDE,Jang,-22.84,-8.94,-9.07,-8.94,,,5,,,,
MOVE,Jack,-22.02,-8.94,-8.12,-8.94,,,5,,,,
DIALOGUE,,,,,,,,,1,,,으…으윽…
SFX_END,,,,,,,,,,,dragging,
DIALOGUE,,,,,,,,,2,,,"잭: 바, 방금… 소리가…?"
SLIDE,Jack,-8.12,-8.94,-7.61,-8.94,,,0.3,,,,오른쪽으로 가라네?
ANIMATION,Jack,,,,,,,,jump,,,뛰기
WAIT,,,,,,,,1,,,,
ANIMATION,Jang,,,,,,,,lookUp,,,올려다보기
LOOK,Jack,,,,,,-1,,,,,
LOOK,Jack,,,,,-1,,,,,,
DIALOGUE,,,,,,,,,3,,,장: … …
EFFECT,,,,,,,,,SHAKE,,,
SFX,,,,,,,,,,,shock,충격 효과음
DIALOGUE,,,,,,,,,2,,,"잭: 으, 으아아악! …"
EFFECT,,,,,,,,,SHAKE,,,
SFX,,,,,,,,,,,shock,충격 효과음
DIALOGUE,,,,,,,,,1,,,잭: 으아아악! 시체가 살아있다
ANIMATION,Jack,,,,,,,,trembling,,,떨림
ANIMATION,Jang,,,,,,,,wakeUp,,,일어나기
LOOK,Jang,,,,,1,,,,,,
DIALOGUE,,,,,,,,,3,,,"잭: 으… 어, 어머니… … (29열까지"
