ID,NPC_ID,DIALOGUE_TEXT,CHOICES,NEXT_DIALOGUE_IDS,CONDITION,IS_END_DIALOGUE,Column1
alric_010,alric,음… 받으세요. 연구실 출입 열쇠랑… 그리고.,,alric_011,,FALSE,
alric_011,alric,선물입니다.,,jang_044,,TRUE,
jang_044,jang,…,,narration_043,,FALSE,
narration_043,narration,(장은 가볍게 목례했다.),,alric_012,,FALSE,
alric_012,alric,소개를 드리죠. 이곳은 우리 ‘연구회’의 연구실이자 화원입니다.,,alric_013,,FALSE,
alric_013,alric,바닥에 화단을 설치하면 식물을 재배할 수 있죠.,,alric_014,,FALSE,
alric_014,alric,"먼저, 화단을 설치하십시오.",,alric_015,,TRUE,
alric_015,alric,"다음으로, 흙에 물을 주십시오.",,alric_016,,TRUE,
alric_016,alric,이제 씨앗을 심으면 됩니다.,,alric_017,,TRUE,
alric_017,alric,식물은 시간이 지나면 자랍니다.,,alric_018,,FALSE,
alric_018,alric,맨손으로 다 자란 식물을 클릭하면 수확할 수 있으니 기다리세요.,,alric_019,,FALSE,
alric_019,alric,… …,,alric_020,,FALSE,
alric_020,alric,뭐… 시간이 걸릴 테니 기다리는 동안 마을을 둘러봐도 될 것 같네요.,,alric_021,,FALSE,
alric_021,alric,마을 사람들은 각자의 집에 있을 겁니다.,,alric_022,,FALSE,
alric_022,alric,인사하고 오시길 권하죠.,,,,TRUE,
