type,charID,startX,startY,endX,endY,dirX,dirY,duration,value,background,sfx,비고
OFF,jack,,,,,,,,,,,
OFF,jang,,,,,,,,,,,
OFF,isolde,,,,,,,,,,,
OFF,ansel,,,,,,,,,,,
OFF,lorenz,,,,,,,,,,,
OFF,alric,,,,,,,,,,,
OFF,dietrich,,,,,,,,,,,
EFFECT,,,,,,,,,FADE_OUT,,,
ON,alric,,,,,,,,,,,
ON,dietrich,,,,,,,,,,,
ON,lorenz,,,,,,,,,,,
ON,jang,,,,,,,,,,,
TELEPORT,alric,,,0.602,0.552,,,,,,,
TELEPORT,dietrich,,,0.736,0.547,,,,,,,
TELEPORT,lorenz,,,0.65,0.614,,,,,,,
TELEPORT,jang,,,0.666,0.446,,,,,,,
LOOK,jang,,,,,,1,,,,,
EFFECT,,,,,,,,,FADE_IN,,,
DIALOGUE,,,,,,,,,27,,,
EFFECT,,,,,,,,,FADE_OUT,,,
DIALOGUE,,,,,,,,,7,,,
EFFECT,,,,,,,,,FADE_IN,,,
